Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email
SALE,Fish restaurant,,327 326 1225,"Via Achille Grandi, Piazzetta Grassi, 2",Aradeo,Lecce,
Antica Osteria,Restaurant,https://social.quandoo.com/en/groups/antica-osteria-103643,320 892 1502,"Via Corsica, 172",Copertino,Lecce,
Trattoria pizzeria Al canneto di Alemanno Gabriele,Restaurant,,0832 947265,"Largo Giuseppe Mazzini, 45",Copertino,Lecce,
La Lanterna del Greco,Restaurant,http://www.lanternadelgreco.com/,0832 194 3151,"P.za del Popolo, 48",Copertino,Lecce,
Le Fogge - Birra Vino Braci,Barbecue restaurant,https://www.facebook.com/lefoggecopertino,338 436 8038,"P.za del Popolo, 9",Copertino,Lecce,
COLTA,Restaurant,,329 644 4202,"Via Torino, 19",Copertino,Lecce,
Over The Top Pizzeria Braceria,Pizza restaurant,,333 976 5001,"Via Asmara, 130",Copertino,Lecce,
Edo Restaurant,Restaurant,http://www.edorestaurant.it/,349 172 5503,"Via Margherita di Savoia, 77",Copertino,Lecce,info@edorestaurant.it
La Corte nel Salento,Restaurant,,327 448 7904,"Strada Comunale dell'Olmo, 5",Copertino,Lecce,
Mein teil,Pub,,324 890 5530,"Via Milano, 24",Copertino,Lecce,
La Vecchia Locanda,Pizza takeaway,,380 346 9785,"Via Gianserio Strafella, 62",Copertino,Lecce,
Krokkè da Francesca,Pizza restaurant,,328 711 1529,Via Regina Isabella,Copertino,Lecce,
Il mago della focaccia,Pizza restaurant,http://www.ilmagodellafocaccia.it/,338 903 8799,Via Fernando Verdesca,Copertino,Lecce,
La Castellana Trattoria,Restaurant,,349 512 1329,"Via Fatima, 13",Copertino,Lecce,
Escamotage,Mexican restaurant,http://escamotageristorante.com/,327 448 7904,"Via Sant'Angelo, 33",Copertino,Lecce,
Le Magie Del Forno,Restaurant,,,"Via Grottella, 74",Copertino,Lecce,
Pizzaapp,Pizza restaurant,http://www.pizzaapp.it/,342 869 3599,"Via Casole, 1",Copertino,Lecce,
La Ruota - Copertino (LE),Pizza restaurant,https://www.ristorantelaruotacopertino.it/,0832 935183,"Via Corsica, 27",Copertino,Lecce,office@webmailfree.com
I Granai - Wine Beer & More,Gastropub,https://instagram.com/igranai.official?utm_medium=copy_link,329 189 8816,"Via Stefano Palma, 6",Copertino,Lecce,
House Pizza&Grill - Ristorante - Sala Eventi,Pizza restaurant,https://housepizzaegrill.com/,389 651 2266,"Via Sciarpo, 99",Copertino,Lecce,info@housecopertino.it
Mein teil,Pub,,324 890 5530,"Via Milano, 24",Copertino,Lecce,
Pizzaapp,Pizza restaurant,http://www.pizzaapp.it/,342 869 3599,"Via Casole, 1",Copertino,Lecce,
King kebab,Fast food restaurant,,,"Largo Giuseppe Mazzini, 60",Copertino,Lecce,
Ghiotte Idee,Restaurant,,328 294 4487,"Via Damiano Chiesa, 144",Copertino,Lecce,
I Granai - Wine Beer & More,Gastropub,https://instagram.com/igranai.official?utm_medium=copy_link,329 189 8816,"Via Stefano Palma, 6",Copertino,Lecce,
Il mago della focaccia,Pizza restaurant,http://www.ilmagodellafocaccia.it/,338 903 8799,Via Fernando Verdesca,Copertino,Lecce,
El gazer,Gastropub,http://www.elgazerpub.it/,389 182 0566,"Piazza Castello, 11",Copertino,Lecce,info@example.com
House Pizza&Grill - Ristorante - Sala Eventi,Pizza restaurant,https://housepizzaegrill.com/,389 651 2266,"Via Sciarpo, 99",Copertino,Lecce,info@housecopertino.it
Caffè 900,Bar,,333 941 9971,"Piazza Umberto I, 18",Copertino,Lecce,
San Sebastian Vineria,Wine bar,,327 831 2363,"Via Malta, 8",Copertino,Lecce,
Hotel Nuova Grottella,Hotel,http://www.hotelnuovagrottella.it/,0832 930023,"Via Esterna Grottella, 6",Copertino,Lecce,
ALEMANNO Gelato Artigianale,Ice cream shop,,333 139 5282,"Via Margherita di Savoia, n. 2",Copertino,Lecce,
Cabiria,Restaurant,,377 486 8772,,Copertino,Lecce,
Malto’s - Birreria Artigianale,Beer hall,,391 727 2957,"Via Re Galantuomo, 25",Copertino,Lecce,
La Golosa Pasticceria Fanuli,Pastry shop,https://pasticcerialagolosa.typeform.com/to/UofdCR,0832 949314,"Via Tenente Giuseppe Colaci, 82",Copertino,Lecce,nome@esempio.it
Villa Phoenix,Banquet hall,http://www.villaphoenix.it/,338 394 1109,"Via Grottella, 215",Copertino,Lecce,
Storico 129,Pub,https://www.paginesi.it/scheda/storico-129-cocktail-bar-con-musica-dal-vivo/25007718/,320 835 6934,Via Margherita di Savoia,Copertino,Lecce,dostunib@gmail.com
Mr. Hamburger,Hamburger restaurant,,329 800 5635,"Via Cesare Bovio, 1",Copertino,Lecce,
Old Kitchen,Takeout restaurant,https://www.old-kitchen.it/catering-per-feste-in-famiglia/,349 772 7174,"Via Terra d'Otranto, 7",Copertino,Lecce,
Sushi wang,Restaurant,,379 190 7739,"Via Casole, 173",Copertino,Lecce,
il Sapore nell'Arte,Caterer,,392 232 5989,"Via Mariano Cosimo, 181",Copertino,Lecce,
Sushi Copertino,Sushi restaurant,,379 190 7739,"Via Casole, 131",Copertino,Lecce,
Casina dei Basiliani,Restaurant,,338 674 2640,"Via Vecchia Lecce - Copertino, 16",Lecce,Lecce,
Glow,Restaurant,,389 099 5265,Via per S. Isidoro Km 2 73043,Copertino,Lecce,
La Corte Escamotage,Farmstay,,327 448 7904,"Strada Comunale dell'Olmo, 5",Copertino,Lecce,
"Kekab, Pizzeria",Kebab shop,,0832 524942,"Via Corsica, 145",Copertino,Lecce,
Il Lanternino pizzeria,Pizza restaurant,https://www.lanternadelgreco.com/pizzeria,0832 194 3151,P.za del Popolo,Copertino,Lecce,
Cotton Pub,Gastropub,,338 919 1227,"Via Piave, 48",Copertino,Lecce,
Copertino Castle,Castle,https://musei.puglia.beniculturali.it/musei/castello-copertino/,0832 931612,Piazza Castello,Copertino,Lecce,drm-pug@cultura.gov.it
Chapeau 97 Pizzeria,Pizza restaurant,https://www.chapeau97pizzeriabraceria.it/,327 225 3911,"Via Colaci Tenente, 110",Copertino,Lecce,pizzeria.chapeau97@gmail.com
Fiko ! Yogurteria Naturale,Frozen yogurt shop,https://instagram.com/fikocopertino?igshid=MTNiYzNiMzkwZA==,333 524 6900,"Piazza Castello, 15",Copertino,Lecce,
La Gazzetta Dei Mezzogiorno,Restaurant,,,Via Magistrato Mariano,Copertino,Lecce,
Tamoil,Gas station,https://www.tamoil.it/,800 113 330,"VIA CARMIANO, SNC",Copertino,Lecce,
Mr. Hamburger,Hamburger restaurant,,329 800 5635,Parco della Grottella,Copertino,Lecce,
Cuorenero Caffè,Bar,https://www.facebook.com/cuorenerocopertino/,351 710 5700,"S.P. Copertino, 18",Copertino,Lecce,
Vesuvio - La Bufala by Napoli 44,Pizza restaurant,,0832 405158,"Via Casole, 173",Copertino,Lecce,
Masseria Stellato,Farmstay,http://www.masseriastellato.com/,338 465 2651,SP17,Copertino,Lecce,info@masseriastellato.com
Agriresort Il Monte - Equitazione - Piscina relax,Farmstay,http://www.agriresortilmonte.it/,388 796 9869,"Via Galatina Esterna, Km 3, SP18",Copertino,Lecce,
Regina Botter,Beer hall,https://regina-botter.jimdosite.com/,328 377 0542,"Piazza Antonio Venturi, 2",Copertino,Lecce,
Pizza Doc,Pizza takeaway,,0832 611902,"Via Roma, 28",Cavallino,Lecce,
Trattoria da Rosario,Restaurant,,328 376 6469,"Via Gigante Don Raffaele, 12",Cavallino,Lecce,
Pianeta Pizza,Pizza restaurant,https://www.facebook.com/PianetaPizzaPizzeria/,340 579 8736,"Via Tito Speri, 4",Copertino,Lecce,
Osteria La Remesa,Restaurant,https://www.instagram.com/laremesa/,0832 611994,"Via Trieste, 17",Cavallino,Lecce,
Osteria Carbinia,Restaurant,,0832 612528,"Via S. Cesario, 137",Cavallino,Lecce,
Trattoria Messapia,Pizza restaurant,,320 451 4475,"LE, Via Antonio Rosario Miglietta, 82",Cavallino,Lecce,
L'Alchimista,Pizza restaurant,,0832 611254,"Via Lizzanello, 57",Cavallino,Lecce,
Cavallino,,,,,Cavallino,Lecce,
Osteria del Pozzo Vecchio,Restaurant,https://social.quandoo.com/en/groups/osteria-del-pozzo-vecchio-104613,0832 401069,"Via M. Silvestro, 16",Cavallino,Lecce,
Via di Mezzo Ristobar,Bistro,,,SP23,Cavallino,Lecce,
Fucazzeria Da Francesco,Restaurant,,328 957 1243,SP375,Cavallino,Lecce,
Gemelli Osteria Pizzeria,Restaurant,,348 375 2617,"Via Antonio Rosario Miglietta, 39",Cavallino,Lecce,
Lerian RISTORANTE salentino e Hamburgeria,Restaurant,,320 617 8965,"Via di Leuca, 212",Lecce,Lecce,
Caffè Kalì,Pizza restaurant,,338 570 6852,"Via di Leuca, 80",Castromediano,Lecce,
La Casetta Home Restaurant,Restaurant,https://lacasettarestaurant.it/,320 257 9920,"Via de Dominicis, 26/Primo Piano",Cavallino,Lecce,
AGRITURISMO VILLA PINA,Italian restaurant,http://www.agriturismovillapina.it/,380 771 1299,contrada LI MORI,Lizzanello,Lecce,villapina95@gmail.com
EliTe Food & Events,Pizza restaurant,,353 467 3245,"Piazza S. Lorenzo, 1",Lizzanello,Lecce,
Street Pizza,Pizza restaurant,,340 477 7281,"Via Antonio Gramsci, 42",Lizzanello,Lecce,
Pizzeria Piccadilly di Daniele Liberti,Pizza restaurant,,329 788 2728,"Corso Umberto I, 54a",Cavallino,Lecce,
Capriccio Divino,Restaurant,,0832 289911,"Via di Leuca, 123/b",Lecce,Lecce,
L'Oca Fifì,Restaurant,https://www.locafifi.it/,328 036 1679,"Via Lecce, 69",Lequile,Lecce,fratellilezzi3@gmail.com
IlexDisco & Restaurant,Restaurant,,320 486 9092,"Via Circonvallazione, 71",Lizzanello,Lecce,
Pizzeria La Vecchia Curte,Pizza restaurant,,328 986 3938,"Via Russo, 23",San Cesario di Lecce,Lecce,
Borgo Papa' Uccio Ristorante Pizzeria Braceria,Restaurant,,377 317 2141,"Via di Leuca Tempi Nuovi, 16",Castromediano,Lecce,
La Cascina | Ristorante Pizzeria,Pizza restaurant,,0832 359528,"Via Lecce, 94/b",San Cesario di Lecce,Lecce,
Trattoria Storica San Carlino,Pizza restaurant,,0832 331856,"Via Giuseppe Libertini, 22",Lecce,Lecce,
Small Cucina And More,Restaurant,https://www.smallristorante.com/,,"Via Dante Alighieri, 59",San Cesario di Lecce,Lecce,antoniofragola@hotmail.com
il Carrettino Lecce • Burger,Hamburger restaurant,,392 900 9069,"Via Braccio Martello, 2c",Lecce,Lecce,
Anima trattoria - pizzeria,Diner,https://www.animatrattoriapizzerialequile.it/,380 759 5411,"Largo Castello, 3",Lequile,Lecce,
Decathlon Cavallino,Sporting goods store,https://www.decathlon.it/store-view/negozio-sport-cavallino-lecce-0070037700377,0832 159 2295,SS 16,Cavallino,Lecce,
Trattoria Pizzeria Messapia,Pizza restaurant,,320 451 4475,"Via Antonio Miglietta, 5",Lecce,Lecce,
Il Laboratorio dell’Alchimista,Pizza restaurant,https://salentovip.it/listings/lalchimista/,345 071 3334,"Via Chiurlia, 7",Lizzanello,Lecce,
Atelier del Gusto,Pizza restaurant,https://www.pizzerianobile.it/menu.html,389 887 7541,"Via XX Settembre, 80",Lizzanello,Lecce,ateliergusto@gmail.com
Lu Casale,Bed & breakfast,,335 638 6259,"Via Giuseppe Mazzini, 163",San Cesario di Lecce,Lecce,
Fusci mói,Fast food restaurant,https://www.fuscimoi.it/,373 757 8320,"Via Marco Basseo, 34",Lecce,Lecce,
Ristorante Carnivori,Restaurant,https://www.facebook.com/carnivorilecce/,328 658 3559,"Viale XX Settembre, 7",Lecce,Lecce,
Ristorante Blunotte,Fish restaurant,https://www.ristoranteblunottelecce.it/,0832 304286,"Via Marino Brancaccio, 2a",Lecce,Lecce,ristoranteblunottelecce@gmail.com
Pizzeria Da Lucio,Pizza restaurant,,329 407 5111,"Via Lecce, 236",Merine,Lecce,
Boccon Divino,Restaurant,http://www.boccondivinolecce.com/,0832 309583,"8, Via Giuseppe Libertini, 17",Lecce,Lecce,info@boccondivinolecce.com
Arte dei Sapori,Seafood restaurant,http://www.artedeisapori.com/,0832 303534,"Via Alami, 3",Lecce,Lecce,info@artedeisapori.com
Elleniko Ristorante Greco,Greek restaurant,http://www.ellenikoristorante.it/,349 818 5927,"Viale dell'Università, 65/B",Lecce,Lecce,info@elatedthemes.com
L'angolino di Via Matteotti,Restaurant,,0832 090584,"Via Giacomo Matteotti, 31",Lecce,Lecce,
Il Ristoro dei Templari - Trattoria - Braceria - Pizzeria,Restaurant,https://www.ilristorodeitemplari.it/,349 141 3652,"Via Ascanio Grandi, 15",Lecce,Lecce,info@ilristorodeitemplari.it
La Bocca Restaurant,Restaurant,https://palazzozimara.it/la-bocca-restaurant/,351 734 8896,"Via Giuseppe Libertini, 44",Lecce,Lecce,labocca@palazzozimara.it
I Sapori Salentini,Italian restaurant,https://social.quandoo.com/en/groups/i-sapori-salentini-102822,379 293 3755,"40.30784542982481, 18.25816745479371, Provinciale Lizzanello",Pisignano,Lecce,
Teros,Pizza restaurant,,0832 352121,"Via Vecchia S. Pietro in Lama, 69",Lecce,Lecce,
La Rustica,Pizza restaurant,http://www.larusticalecce.it/,0832 249419,"Via del Delfino, 3",Lecce,Lecce,info@larusticalecce.it
Estia Restaurant,Restaurant,,0832 289652,"Via di Leuca, 90",Lecce,Lecce,
Pizza&Co.,Pizza takeaway,https://www.facebook.com/PizzAndCoLecce/,,"Via Giuseppe Libertini, 39",Lecce,Lecce,
Ristorante Cantina Don Carlo - San Pietro in Lama,Restaurant,https://cantina-don-carlo.eatbu.com/?lang=en,0832 263299,"Via Sant'Antonio, 10",San Pietro in Lama,Lecce,
Pizzeria,Restaurant,,,"Via S. Pietro, 1",Lecce,Lecce,
"Tabisca ""il Vico dei Tagliati""",Steak house,http://www.tabisca.it/,380 634 4345,Via Dietro Ospedale dei Pellegrini 29 In un vicolo presso Piazzatta Santa Chiara,Lecce,Lecce,info@tabisca.it
Il Vizio del Barone,Italian restaurant,http://www.ilviziodelbarone.net/,338 764 6100,"Via Martano, 127",Caprarica di Lecce,Lecce,info@ilviziodelbarone.net
Cavallino,Pathologist,,0832 228492,"Via Monte Grappa, 16",Cavallino,Lecce,
Ulivi D'Argento,Restaurant,,,Via Chieri,Cavallino,Lecce,
La Brasiliana del Caffè,Store,http://www.labrasilianadelcaffe.it/,393 910 0945,"Via S. Cesario, 195",Cavallino,Lecce,info@labrasilianadelcaffe.it
Il Vico Del Gusto • Ristorante,Restaurant,http://www.ilvicodelgusto.it/,0832 246931,"Vico dei Fieschi, 14",Lecce,Lecce,
Pizza Smile,Pizza restaurant,,0832 614502,"SS 16, 7",Cavallino,Lecce,
I Latini,Mediterranean restaurant,http://www.ilatini.it/,0832 524578,"Via Giuseppe Palmieri, 46",Lecce,Lecce,
Gastronomia Conad,Restaurant,,,"SS 16, Km, 962,700",Cavallino,Lecce,
Cavallino,Pathologist,,0832 228492,"Via Monte Grappa, 16",Cavallino,Lecce,
Porcaria - Il Panino Gourmet,Sandwich shop,https://www.facebook.com/porcariaofficial/,327 598 4204,"Vico del Tufo 15 angolo, Via Federico D'Aragona",Lecce,Lecce,
La Bella 'mbriana | Ristorante Pizzeria,Italian restaurant,http://www.bellambrianalecce.it/,0832 612823,Strada,Lecce,Lecce,info@bellambrianalecce.it
Casina del Grillo,Restaurant,,328 313 3117,,Lizzanello,Lecce,
Sushi Daily Cavallino,Sushi takeaway,https://www.sushidaily.com/it-it/dove-siamo/cavallino/?utm_source=Google&utm_medium=local&utm_term=Cavallino&utm_content=IT,0832 614651,"SS 16, 7",Cavallino,Lecce,alessio.iovino@kellydeli.com
Birrificio B94,Brewery,http://www.birrificiob94.it/,0832 347878,Via Provinciale,Cavallino,Lecce,info@birrificiob94.it
Kick Off - Sport Center,Sports complex,http://www.kickofflecce.it/,346 880 0613,"Via Vecchia San Donato (angolo, Via Pepini",Cavallino,Lecce,info@kickofflecce.it
Tamoil,Gas station,https://www.tamoil.it/,800 113 330,"SP. PER CAPRARICA, 164",Cavallino,Lecce,
Metropizza Da Fabio,Pizza restaurant,https://metropizza-da-fabio4.webnode.it/,340 291 7092,"Via della Repubblica, 28",Castromediano,Lecce,contatto@esempio.it
Hostaria Aretè,Italian restaurant,https://www.hostariarete.it/,337 826 761,Strada Provinciale Cavallino - Caprarica,Cavallino,Lecce,arete.lecce@libero.it
Trattoria L'Arco,Restaurant,,320 746 1927,"Via Materdomini, 44",Pisignano,Lecce,
Trattoria Fiori di Zucca,Restaurant,http://www.fioridizuccalecce.it/,0832 230313,"Via Forlanini, 26",Lecce,Lecce,fioridizucca2007@libero.it
3 Rane,Italian restaurant,https://www.facebook.com/3raneristoro/,375 504 0165,"Via Cavour, 7",Lecce,Lecce,
Nautilus Garden,Southern Italian restaurant,http://www.nautilusgarden.it/,0832 169 4931,"LE, Via Paisiello, 9",Lecce,Lecce,nuatilus.lecce@gmail.com
La Puritate,Seafood restaurant,,0833 264205,"Via Sant'Elia, 18",Gallipoli,Lecce,
Costa del Sud,Seafood restaurant,,340 070 6360,Piazza della repubblica 5 Mercato ittico,Gallipoli,Lecce,
Agriturismo Li Mori,Restaurant,http://agriturismolimorilizzanello.metro.rest/,347 711 0772,"Via Case Sparse Li Mori, 24",Lizzanello,Lecce,
Ristorante La Vinaigrette,Restaurant,http://www.lavinaigrette.it/,348 469 6199,"Riviera Armando Diaz, 75",Gallipoli,Lecce,info@lavinaigrette.it
OSTERIA SANT’ ANGELO. ( ex osteria LA RIVIERA),Restaurant,,0833 263972,"Via de Pace Antonio, 3",Gallipoli,Lecce,
Pentola Degli Gnomi,Restaurant,http://www.pentoladeglignomi.it/,340 323 5867,"Via Gian Giacomo Russo, 18",Gallipoli,Lecce,
Santa Monaca,Seafood restaurant,http://www.santamonaca.it/,329 596 3258,"Riviera Nazario Sauro, 41",Gallipoli,Lecce,
Le Garibaldine,Restaurant,https://m.facebook.com/pages/category/Restaurant/Le-Garibaldine-661691050609211/,388 114 0082,"Via XXIV Maggio, 11",Gallipoli,Lecce,
La Burrateria Gallipoli,Small plates restaurant,,349 582 2857,"Corso Roma, 18",Gallipoli,Lecce,
L’Angolo Blu,Restaurant,,0833 261500,"Via C. Muzio, 45",Gallipoli,Lecce,
Al 123 Pucceria Pizzeria,Restaurant,,347 670 7885,"Riviera Armando Diaz, 123",Gallipoli,Lecce,
L'Ucceria_ Cucina Salentina e carni alla griglia,Restaurant,,340 164 2492,"Via Specolizzi, 17",Gallipoli,Lecce,
Osteria Briganti,Seafood restaurant,https://www.facebook.com/osteriabrigantigallipoli,0833 261166,"Via Antonietta de Pace, 107",Gallipoli,Lecce,
MATRE Ristorante,Restaurant,,0833 264430,"Via Antonietta de Pace, 116",Gallipoli,Lecce,
Brasserie Pub Gallipoli,Pub,http://www.brasseriegallipoli.com/,327 043 7068,"Viale Giovanni Bovio, 14/16",Gallipoli,Lecce,info@brasseriegallipoli.com
Ristorante Grotta Marinara,Seafood restaurant,http://www.ristorantegrottamarinara.it/,0833 264030,"Via Cesare Battisti, 13",Gallipoli,Lecce,
PUBurger Lecce,Fast food restaurant,https://www.puburger.it/,320 915 2713,"Via Columbi, 8",Cavallino,Lecce,
Gemelli Osteria Pizzeria,Restaurant,,348 375 2617,"Via Antonio Rosario Miglietta, 39",Cavallino,Lecce,
Scafùd Mare,Seafood restaurant,http://www.scafud.it/,0833 261365,"Via C. Muzio, 23",Gallipoli,Lecce,info@scafud.it
Al Pescatore | Ristorante,Fish restaurant,http://www.alpescatoregallipoli.com/,0833 263656,"Riviera Cristoforo Colombo, 39",Gallipoli,Lecce,
I PORTICI Beerstrot Italiano - Gallipoli,Pub,https://www.iporticigallipoli.it/,351 666 2971,"Corso Roma, 13/N",Gallipoli,Lecce,iporticigallipoli@gmail.com
Da Olga,Italian restaurant,,0833 261982,"Viale Giovanni Bovio, 3",Gallipoli,Lecce,
NAVICULA MĀRĒ,Restaurant,,347 468 1747,"Via Galateo, 8",Gallipoli,Lecce,
Dimora Muzio Restaurant,Restaurant,,346 123 2170,"Via C. Muzio, 17",Gallipoli,Lecce,
Osteria del Vico,Southern Italian restaurant,https://social.quandoo.com/en/groups/osteria-del-vico-104723,349 259 1904,"Vicolo Mercato, 1",Gallipoli,Lecce,
Porto Antico,Restaurant,,347 151 4979,"Via, Riviera Cristoforo Colombo, 27",Gallipoli,Lecce,
Trattoria La Stazione,Restaurant,http://www.trattorialastazione.com/,0833 261689,"Viale Giovanni Bovio, 17",Gallipoli,Lecce,info@trattorialastazione.com
Dio del Mare | Gallipoli,Restaurant,https://www.diodelmaregallipoli.net/,347 692 3013,SP108,Gallipoli,Lecce,giorgiopianoforte123@gmail.com
Il Faro Restaurant - Sunset Bar,Restaurant,,340 757 6957,"Riviera Nazario Sauro, 91",Gallipoli,Lecce,
La Fraschetta Osteria Romana Gallipoli,Restaurant,,329 671 7511,"Viale Giovanni Bovio, 21",Gallipoli,Lecce,
L'Osteria Mia Gallipoli,Restaurant,,,"Riviera Nazario Sauro, 41",Gallipoli,Lecce,
Il Pettolino,Restaurant,https://gallipolipettolino.it/,366 335 1909,"Riviera Nazario Sauro, 57",Gallipoli,Lecce,info@gallipolipettolino.it
Da Clara,Seafood restaurant,,0833 219186,"Via Antonietta de Pace, 15",Gallipoli,Lecce,
La Bitta - Fish Restaurant,Seafood restaurant,,328 895 4131,"Riviera Cristoforo Colombo, 65",Gallipoli,Lecce,
La Navicula,Seafood restaurant,,327 010 8733,"Via Incrociata, 24",Gallipoli,Lecce,
Yellow Scapece,Restaurant,https://salentovip.it/listings/yellow-scapece/,349 582 2882,"Riviera Armando Diaz, 131",Gallipoli,Lecce,
Mama Trattoria di Mare,Seafood restaurant,https://mamatrattoria.it/,320 558 1641,"Piazza de Amicis, 13",Gallipoli,Lecce,info@mamatrattoria.it
Vista Mare,Restaurant,https://chloerecommends.eu/vista-mare-gallipoli-italy,0833 262420,Via Matteo Calò,Gallipoli,Lecce,
Ristorante Pane Olio e Fantasia,Restaurant,https://www.paneolioefantasia.it/,324 779 1270,"Piazza della Repubblica, 8",Gallipoli,Lecce,paneolioefantasia@gmail.com
Varius al Porto Osteria di Mare,Restaurant,https://social.quandoo.com/en/groups/varius-al-porto-osteria-di-mare-102306,389 109 4417,"Via Lecce, 153",Gallipoli,Lecce,
Buena Vista,Restaurant,http://www.buenavistagallipoli.it/,0833 261993,"Riviera Nazario Sauro, 127",Gallipoli,Lecce,
Mivida Gallipoli,Restaurant,https://www.leggimenu.it/menu/mivida,388 809 7482,"Riviera Nazario Sauro, 6",Gallipoli,Lecce,
THALASSA - Sapori dal Mare,Restaurant,https://thalassagallipoli.it/,392 379 3378,"Riviera Cristoforo Colombo, 33",Gallipoli,Lecce,
Ristorante Agriturismo Calamate,Restaurant,http://agriturismocalamate.it/,393 386 5747,"SP52, KM 0",Sannicola,Lecce,bookingcalamate@gmail.com
